-1,-1,-1,-1,-1,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,115,115,115,263,248,249,115,115,115,-1,321,-1,-1,343,-1,-1,
-1,-1,176,177,-1,-1,-1,271,256,257,-1,270,-1,179,180,-1,-1,351,-1,-1,
-1,-1,184,185,-1,-1,-1,279,264,265,-1,278,-1,187,188,-1,-1,-1,-1,-1,
-1,-1,192,193,194,194,194,194,194,194,194,194,194,195,196,-1,-1,-1,-1,-1,
-1,-1,200,201,202,202,202,202,202,202,202,202,202,202,204,-1,-1,-1,-1,136,
-1,-1,208,209,210,210,210,210,210,210,210,210,210,211,212,-1,-1,-1,-1,144,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
298,299,299,299,299,299,299,299,299,299,299,300,-1,-1,-1,-1,-1,-1,-1,-1,
306,-1,322,322,322,-1,-1,-1,285,286,287,308,-1,-1,-1,-1,-1,-1,-1,-1,
306,-1,293,294,295,-1,-1,322,293,294,295,308,-1,-1,-1,-1,-1,-1,-1,-1,
306,-1,301,302,303,-1,-1,-1,301,302,303,308,-1,-1,-1,-1,-1,-1,-1,-1,
306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,
314,315,315,307,315,315,315,315,307,315,315,316,-1,-1,-1,-1,-1,-1,-1,-1,
